Tag_ID,Des
Minuts_From_Start,Minuts_From_Start
[0:211],CT001 Motor current (C5000A)
[0:258],CT001 Motor current (C5000B)
[0:305],CT001 Motor current (C5000C)
[0:204],PT002 System pressure (C5000A)
[0:251],PT002 System pressure (C5000B)
[0:298],PT002 System pressure (C5000C)
[0:324],TE004 C/W inlet temperature (C5000C)
[0:277],TE004 C/W inlet temperature (C5000B)
[0:230],TE004 C/W inlet temperature (C5000A)
[0:212],TE006 Oil supply temperature (C5000A)
[0:259],TE006 Oil supply temperature (C5000B)
[0:306],TE006 Oil supply temperature (C5000C)
[0:226],PT003 C/W inlet pressure (C5000A)
[0:273],PT003 C/W inlet pressure (C5000B)
[0:320],PT003 C/W inlet pressure (C5000C)
[0:70],TI404A Air booster/turbine T/C2000A oil temperature
[0:109],TI404B Air booster/turbine T/C2000B oil temperature
[0:50],PI210 Air turbine/booster outlet pressure
[0:74],PI402A Air booster C2000A outlet pressure
[0:113],PI402B Air booster C2000B outlet pressure
[0:24],FI580 Vessel V5000B pressure
[0:46],TI210A Air turbine T2000A outlet temperature
[0:54],TI210B Air turbine T2000A outlet temperature
[0:26],TI580 Vessel V5000B pressure
[0:25],PI580 Vessel V5000B pressure
[0:479],SIC401A - PV Air turbine/booster T/C2000A speed
[0:480],SIC401B - PV Air turbine/booster T/C2000B speed
[0:73],PI409A Air booster/turbine T/C2000A oil supply pressure
[0:112],PI409B Air booster/turbine T/C2000B oil supply pressure
[0:45],TI204A Air turbine T2000A inlet pressure
[0:53],TI204B Air turbine T2000A inlet temperature
[0:352],CT001 Motor current (C7300)
[0:353],TE006 Oil supply temperature (C7300)
[0:363],PT005 #2 inlet pressure (C7300)
[0:346],PT001 Stage 3 discharge pressure (C7300)
[0:367],PT003 C/W inlet pressure (C7300)
[0:355],TE005 Oil reservoir temperature (C7300)
[0:347],PT004 Oil supply pressure (C7300)
[0:21],TI530 Prepurifier inlet temperature
[0:20],PI540 Prepurifier inlet pressure
[0:145],PI60A Oxygen compressor C6100A delivery pressure
[0:160],PI60B Oxygen compressor C6100B delivery pressure
[0:175],PI60C Oxygen compressor C6100B delivery pressure
[0:152],VI50A Oxygen compressor C6100A vibration
[0:167],VI50B Oxygen compressor C6100B vibration
[0:182],VI50C Oxygen compressor C6100B vibration
[0:146],PI61A Oxygen compressor C6100A oil pressure
[0:161],PI61B Oxygen compressor C6100B oil pressure
[0:176],PI61C Oxygen compressor C6100B oil pressure
[0:151],TI70A Oxygen compressor C6100A oil cooler outlet temperature
[0:166],TI70B Oxygen compressor C6100B oil cooler outlet temperature
[0:181],TI70C Oxygen compressor C6100B oil cooler outlet temperature
